ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
M01896:197:000000000-ANEHB:1:1114:15078:23482_CONS_SUB_SUB_CMP,False,2,2,1,1,10,0.013,0.009,5,1,True,50,False
MISEQ01:3:000000000-ALULJ:1:1105:12015:25110_CONS_SUB_SUB_CMP,False,4,4,3,1,12,0.376,0.002,3,0,False,6,False
M00595:3:000000000-ALULJ:1:1106:15134:18831_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1102:22348:10046_CONS_SUB_SUB,False,2,2,1,1,10,0.308,0.307,5,0,False,50,False
M01896:197:000000000-ANEHB:1:2102:3315:14298_CONS_SUB_SUB,False,2,2,1,1,9,0.204,0.179,3,1,True,8,False
M01896:197:000000000-ANEHB:1:2108:14459:12858_CONS_SUB_SUB,False,7,7,3,4,12,0.129,0.009,6,5,True,50,True
M01896:197:000000000-ANEHB:1:1109:10301:15571_CONS_SUB_SUB_CMP,True,2,2,1,1,11,0.663,0.172,4,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1101:2885:13739_CONS_SUB_SUB_CMP,False,2,2,1,1,10,0.341,0.166,5,2,True,27,False
MISEQ01:3:000000000-ALULJ:1:2106:25814:8421_CONS_SUB_SUB,False,1,1,0,1,4,1.0,1.0,1,0,False,14,False
MISEQ01:3:000000000-ALULJ:1:2108:11594:6122_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,15,False
M01896:197:000000000-ANEHB:1:1104:10845:2807_CONS_SUB_SUB_CMP,False,6,6,5,1,5,0.153,0.001,5,3,True,22,False
M00595:3:000000000-ALULJ:1:2108:11364:26907_CONS_SUB_SUB_CMP,False,3,3,2,1,4,0.283,0.069,50,0,False,50,True
M01896:197:000000000-ANEHB:1:2114:3226:10707_CONS_SUB_SUB_CMP,False,4,4,3,1,5,0.192,0.001,6,2,True,50,False
MISEQ01:3:000000000-ALULJ:1:1111:8543:13134_CONS_SUB_SUB,True,1,1,0,1,11,0.987,0.987,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1114:17070:5246_CONS_SUB_SUB_CMP,True,1,1,0,1,12,0.996,0.996,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1113:12302:18214_CONS_SUB_SUB,True,1,1,0,1,12,0.992,0.992,3,1,True,50,False
M01896:197:000000000-ANEHB:1:1109:18349:26666_CONS_SUB_SUB_CMP,False,2,2,1,1,11,0.344,0.321,16,2,True,50,False
M00595:3:000000000-ALULJ:1:2101:20271:6175_CONS_SUB_SUB,True,1,1,0,1,8,0.999,0.999,3,3,True,6,False
M01896:197:000000000-ANEHB:1:1112:16339:26363_CONS_SUB_SUB_CMP,False,3,3,1,2,12,0.239,0.001,8,6,True,23,False
MISEQ01:3:000000000-ALULJ:1:2104:18376:12255_CONS_SUB_SUB,False,3,3,2,1,3,0.479,0.002,10,5,True,50,True
M00595:3:000000000-ALULJ:1:1103:8208:3713_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,8,1,True,50,False
MISEQ01:3:000000000-ALULJ:1:1106:10023:8896_CONS_SUB_SUB,True,2,2,0,2,11,0.952,0.03,1,0,False,50,False
M01896:197:000000000-ANEHB:1:2104:18715:14092_CONS_SUB_SUB,True,1,1,0,1,12,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1114:12029:10746_CONS_SUB_SUB,False,5,5,4,1,5,0.214,0.005,12,7,True,43,False
MISEQ01:3:000000000-ALULJ:1:1103:17094:27757_CONS_SUB_SUB,True,1,1,0,1,11,0.999,0.999,1,0,False,39,False
MISEQ01:3:000000000-ALULJ:1:2105:11385:17462_CONS_SUB_SUB,True,3,3,2,1,12,0.791,0.004,3,0,False,16,False
MISEQ01:3:000000000-ALULJ:1:1109:9735:20153_CONS_SUB_SUB,True,2,2,0,2,11,0.979,0.005,13,2,True,50,False
M01896:197:000000000-ANEHB:1:2105:10594:4653_CONS_SUB_SUB_CMP,False,2,2,1,1,8,0.971,0.007,1,0,False,9,True
MISEQ01:3:000000000-ALULJ:1:1113:21956:7457_CONS_SUB_SUB,True,1,1,0,1,9,0.7,0.7,3,0,False,8,False
M01896:197:000000000-ANEHB:1:1110:18479:9229_CONS_SUB_SUB_CMP,False,6,6,3,3,14,0.056,0.019,5,1,True,50,False
M01896:197:000000000-ANEHB:1:1102:9928:18956_CONS_SUB_SUB,False,2,2,1,1,10,0.32,0.316,2,0,False,49,False
M00595:3:000000000-ALULJ:1:1114:21973:10209_CONS_SUB_SUB_CMP,True,2,2,0,2,13,0.988,0.003,4,3,True,6,False
M00595:3:000000000-ALULJ:1:2103:12797:11693_CONS_SUB_SUB,False,8,8,5,3,8,0.091,0.042,15,3,True,49,True
M01896:197:000000000-ANEHB:1:1113:11889:22092_CONS_SUB_SUB_CMP,True,2,2,0,2,12,0.999,0.001,1,0,False,29,False
M01896:197:000000000-ANEHB:1:2102:17763:6878_CONS_SUB_SUB_CMP,True,4,4,3,1,11,0.638,0.013,4,0,False,50,False
M01896:197:000000000-ANEHB:1:2107:22365:21034_CONS_SUB_SUB_CMP,False,6,6,2,4,11,0.138,0.079,3,3,True,6,True
MISEQ01:3:000000000-ALULJ:1:2110:15673:1948_CONS_SUB_SUB,True,2,2,1,1,11,0.952,0.023,2,0,False,16,False
M01896:197:000000000-ANEHB:1:1101:10312:15261_CONS_SUB_SUB,True,2,2,1,1,12,0.974,0.018,2,0,False,12,False
MISEQ01:3:000000000-ALULJ:1:1108:20725:3298_CONS_SUB_SUB,False,2,2,1,1,11,0.564,0.244,2,1,True,18,False
MISEQ01:3:000000000-ALULJ:1:1110:7408:5658_CONS_SUB_SUB,True,2,2,1,1,13,0.988,0.007,2,0,False,13,False
MISEQ01:3:000000000-ALULJ:1:2105:13021:13000_CONS_SUB_SUB,False,6,6,3,3,13,0.988,0.001,8,1,True,19,True
MISEQ01:3:000000000-ALULJ:1:2113:14233:14277_CONS_SUB_SUB,True,2,2,1,1,12,0.969,0.003,2,0,False,6,False
M01896:197:000000000-ANEHB:1:2103:16311:8745_CONS_SUB_SUB_CMP,True,1,1,0,1,12,0.997,0.997,2,0,False,6,False
M01896:197:000000000-ANEHB:1:2101:11816:23483_CONS_SUB_SUB,False,3,3,1,2,4,0.22,0.184,3,0,False,50,True
M01896:197:000000000-ANEHB:1:2102:6636:9015_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,2,0,False,11,False
MISEQ01:3:000000000-ALULJ:1:1109:15201:26914_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1101:25790:15966_CONS_SUB_SUB_CMP,True,1,1,0,1,11,1.0,1.0,4,0,False,15,False
M00595:3:000000000-ALULJ:1:2103:21513:9835_CONS_SUB_SUB,True,3,3,0,3,10,1.0,0.004,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1106:25470:8391_CONS_SUB_SUB,False,5,5,2,3,12,0.211,0.002,17,9,True,50,False
M01896:197:000000000-ANEHB:1:1110:13656:10248_CONS_SUB_SUB,False,3,3,2,1,3,0.279,0.078,16,6,True,50,True
M00595:3:000000000-ALULJ:1:2113:28235:14185_CONS_SUB_SUB_CMP,False,3,3,2,1,9,0.224,0.181,20,3,True,50,False
M01896:197:000000000-ANEHB:1:2103:18115:28120_CONS_SUB_SUB,True,1,1,0,1,10,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:2101:20228:15594_CONS_SUB_SUB,True,3,3,1,2,9,0.758,0.02,3,1,True,6,False
MISEQ01:3:000000000-ALULJ:1:1113:4221:11403_CONS_SUB_SUB,True,1,1,0,1,10,1.0,1.0,3,3,True,50,False
M00595:3:000000000-ALULJ:1:1103:9003:26039_CONS_SUB_SUB,True,2,2,0,2,10,0.992,0.003,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1110:26150:23667_CONS_SUB_SUB,False,2,2,0,2,11,0.475,0.27,2,1,True,6,True
M00595:3:000000000-ALULJ:1:2103:21878:24138_CONS_SUB_SUB,True,3,3,2,1,7,0.813,0.001,3,0,False,18,False
MISEQ01:3:000000000-ALULJ:1:2107:15681:25912_CONS_SUB_SUB_CMP,True,1,1,0,1,14,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1111:18046:28578_CONS_SUB_SUB_CMP,False,2,2,1,1,10,0.365,0.126,33,12,True,50,False
M01896:197:000000000-ANEHB:1:1107:7857:19678_CONS_SUB_SUB,False,1,1,0,1,12,0.855,0.855,13,5,True,50,False
M01896:197:000000000-ANEHB:1:1112:15808:7827_CONS_SUB_SUB,True,1,1,0,1,12,1.0,1.0,0,0,False,50,False
M01896:197:000000000-ANEHB:1:1110:12705:12304_CONS_SUB_SUB_CMP,True,2,2,1,1,14,0.996,0.001,7,1,True,35,False
MISEQ01:3:000000000-ALULJ:1:1109:24924:22485_CONS_SUB_SUB,True,1,1,0,1,8,1.0,1.0,7,1,True,41,False
M01896:197:000000000-ANEHB:1:1109:14293:20369_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
M00595:3:000000000-ALULJ:1:1111:9114:20050_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,9,False
MISEQ01:3:000000000-ALULJ:1:2112:12090:17733_CONS_SUB_SUB,True,3,3,0,3,13,1.0,0.777,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2114:11889:17236_CONS_SUB_SUB_CMP,True,3,3,0,3,13,0.934,0.001,3,2,True,50,False
MISEQ01:3:000000000-ALULJ:1:2107:11552:27114_CONS_SUB_SUB,False,6,6,5,1,10,0.189,0.002,7,1,True,20,False
M00595:3:000000000-ALULJ:1:1110:18048:5939_CONS_SUB_SUB,True,1,1,0,1,11,0.998,0.998,1,0,False,6,False
