ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
MISEQ01:3:000000000-ALULJ:1:2104:16882:26552_CONS_SUB_SUB,False,2,2,1,1,5,0.754,0.07,4,2,True,15,False
MISEQ01:3:000000000-ALULJ:1:1111:4491:23529_CONS_SUB_SUB_CMP,False,2,2,1,1,12,0.672,0.193,4,2,True,50,False
MISEQ01:3:000000000-ALULJ:1:1103:16888:28308_CONS_SUB_SUB,True,1,1,0,1,12,0.994,0.994,1,0,False,6,False
M00595:3:000000000-ALULJ:1:2112:22672:18684_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2111:21770:24087_CONS_SUB_SUB,False,3,3,2,1,11,0.311,0.115,3,0,False,10,False
M01896:197:000000000-ANEHB:1:2112:17083:12483_CONS_SUB_SUB,True,4,4,0,4,11,0.762,0.006,6,1,True,43,False
M01896:197:000000000-ANEHB:1:2114:1805:15069_CONS_SUB_SUB_CMP,True,1,1,0,1,11,1.0,1.0,1,0,False,35,False
M00595:3:000000000-ALULJ:1:2113:7413:20570_CONS_SUB_SUB,True,2,2,1,1,13,0.92,0.035,1,0,False,7,False
MISEQ01:3:000000000-ALULJ:1:2101:7489:16295_CONS_SUB_SUB_CMP,True,1,1,0,1,14,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1111:8603:15665_CONS_SUB_SUB,True,7,7,3,4,13,0.964,0.001,13,0,False,50,False
M00595:3:000000000-ALULJ:1:1114:7220:15827_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M00595:3:000000000-ALULJ:1:2114:11020:18888_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,16,False
M01896:197:000000000-ANEHB:1:1109:19588:23994_CONS_SUB_SUB_CMP,False,2,2,1,1,5,0.589,0.062,3,2,True,6,False
M01896:197:000000000-ANEHB:1:2110:10762:2432_CONS_SUB_SUB,False,1,1,0,1,9,0.315,0.315,6,1,True,11,False
M01896:197:000000000-ANEHB:1:1110:22181:20375_CONS_SUB_SUB_CMP,True,2,2,1,1,12,0.944,0.029,2,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1109:9722:3664_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2105:20206:4691_CONS_SUB_SUB,True,3,3,1,2,13,0.543,0.001,2,0,False,22,False
MISEQ01:3:000000000-ALULJ:1:1112:13434:18551_CONS_SUB_SUB,False,2,2,0,2,6,0.201,0.093,2,2,True,50,False
MISEQ01:3:000000000-ALULJ:1:2111:23170:24601_CONS_SUB_SUB,True,3,3,1,2,13,0.813,0.001,3,1,True,31,True
M01896:197:000000000-ANEHB:1:1109:11706:16960_CONS_SUB_SUB,True,2,2,1,1,13,0.925,0.038,2,0,False,9,False
M00595:3:000000000-ALULJ:1:2113:18698:18214_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1103:12781:26973_CONS_SUB_SUB,True,1,1,0,1,7,1.0,1.0,1,0,False,6,False
M00595:3:000000000-ALULJ:1:2109:26492:23996_CONS_SUB_SUB,True,2,2,0,2,11,0.925,0.034,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1111:6678:18637_CONS_SUB_SUB,False,2,2,1,1,5,0.275,0.243,4,3,True,42,False
MISEQ01:3:000000000-ALULJ:1:2102:13851:23625_CONS_SUB_SUB,True,1,1,0,1,9,0.994,0.994,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2114:16705:7300_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1112:19390:2481_CONS_SUB_SUB,False,2,2,1,1,11,0.226,0.032,2,0,False,50,False
M00595:3:000000000-ALULJ:1:1108:18523:25852_CONS_SUB_SUB,False,3,3,2,1,5,0.215,0.189,7,2,True,43,False
M00595:3:000000000-ALULJ:1:1101:8050:11816_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1106:23107:15719_CONS_SUB_SUB_CMP,True,1,1,0,1,11,0.998,0.998,1,0,False,11,False
M01896:197:000000000-ANEHB:1:2105:23404:6025_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1110:24365:13301_CONS_SUB_SUB,False,5,5,2,3,12,0.171,0.001,17,9,True,50,False
